dt_venda,matricula_funcionario,nome_funcionario,cargo,codigo_loja,nome_loja,codigo_produto,descricao_produto,categoria,preco_custo,valor_unitario,quantidade,dt_entrega,valor_final
2020-08-25 10:04:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10013,Fogão,Eletrodomésticos,210.9,404.1,3,2020-08-31 16:39:00,1212.3000000000002
2020-06-10 15:34:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10011,Liquidificador,Cozinha,59.9,142.4,2,2020-06-11 13:59:00,284.8
2019-03-21 15:58:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10013,Fogão,Eletrodomésticos,210.9,404.1,2,2019-03-28 09:44:00,808.2
2019-09-16 14:46:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10004,Máquina Lavar Roupa,Eletrodomésticos,1099.0,1709.1,2,2019-09-20 09:22:00,3418.2
2019-11-25 16:28:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10005,Notebook,Eletrônicos,2299.9,3199.0,2,2019-11-26 13:42:00,6398.0
2019-09-28 12:02:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10018,Colchão,Casa,109.9,249.9,2,2019-09-28 14:06:00,499.8
2019-11-01 11:05:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10010,Fritadeira elétrica,Cozinha,187.9,340.0,2,2019-11-01 13:45:00,680.0
2020-11-01 11:48:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10018,Colchão,Casa,109.9,249.9,2,2020-11-01 12:31:00,499.8
2020-06-23 10:47:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10018,Colchão,Casa,109.9,249.9,2,2020-06-23 15:56:00,499.8
2020-04-01 16:50:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10010,Fritadeira elétrica,Cozinha,187.9,340.0,2,2020-04-02 15:20:00,680.0
2020-01-27 17:32:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10010,Fritadeira elétrica,Cozinha,187.9,340.0,2,2020-01-28 16:20:00,680.0
2020-07-13 15:57:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10003,Televisão,Eletrodomésticos,1400.9,2279.99,2,2020-07-17 15:48:00,4559.98
2019-12-22 13:18:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10003,Televisão,Eletrodomésticos,1400.9,2279.99,2,2019-12-26 16:18:00,4559.98
2020-02-16 16:12:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10003,Televisão,Eletrodomésticos,1400.9,2279.99,2,2020-02-19 11:21:00,4559.98
2019-05-26 16:34:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10019,Sofá,Casa,789.9,1399.0,2,2019-05-28 13:35:00,2798.0
2020-07-02 12:27:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10012,Processador de alimentos,Cozinha,110.0,189.9,2,2020-07-02 16:27:00,379.8
2019-12-05 14:57:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10013,Fogão,Eletrodomésticos,210.9,404.1,2,2019-12-12 13:12:00,808.2
2019-06-21 10:21:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10009,Ferro de passar,Casa,27.9,55.9,2,2019-06-21 10:31:00,111.8
2019-03-25 13:01:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10016,Guarda Roupa,Casa,489.9,999.0,2,2019-03-31 13:46:00,1998.0
2020-12-10 11:41:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10002,Tablet,Eletrônicos,799.0,1424.91,2,2020-12-10 15:53:00,2849.82
2020-09-08 17:12:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10018,Colchão,Casa,109.9,249.9,3,2020-09-09 10:18:00,749.7
2019-01-15 12:15:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10006,Aspirador de pó,Casa,88.9,189.9,2,2019-01-15 16:14:00,379.8
2019-12-14 13:44:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10005,Notebook,Eletrônicos,2299.9,3199.0,2,2019-12-15 09:06:00,6398.0
2020-05-31 17:46:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10005,Notebook,Eletrônicos,2299.9,3199.0,2,2020-06-01 15:56:00,6398.0
2019-02-04 13:45:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10011,Liquidificador,Cozinha,59.9,142.4,3,2019-02-04 16:26:00,427.20000000000005
2019-07-04 09:50:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10014,Geladeira,Eletrodomésticos,699.9,1346.9,3,2019-07-10 14:18:00,4040.7000000000003
2019-08-10 16:08:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10004,Máquina Lavar Roupa,Eletrodomésticos,1099.0,1709.1,3,2019-08-13 14:12:00,5127.299999999999
2020-02-21 14:19:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10001,Smartphone,Eletrônicos,899.9,1676.9,3,2020-02-22 10:54:00,5030.700000000001
2019-03-30 11:14:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10015,Microondas,Eletrodomésticos,189.0,364.5,3,2019-03-31 10:21:00,1093.5
2019-05-31 14:14:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10004,Máquina Lavar Roupa,Eletrodomésticos,1099.0,1709.1,2,2019-06-03 10:17:00,3418.2
2019-12-05 17:38:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10014,Geladeira,Eletrodomésticos,699.9,1346.9,2,2019-12-11 10:47:00,2693.8
2019-04-16 17:44:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10003,Televisão,Eletrodomésticos,1400.9,2279.99,2,2019-04-22 12:04:00,4559.98
2019-07-14 14:39:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10003,Televisão,Eletrodomésticos,1400.9,2279.99,2,2019-07-18 15:37:00,4559.98
2019-09-27 10:07:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10012,Processador de alimentos,Cozinha,110.0,189.9,2,2019-09-27 11:10:00,379.8
2019-07-20 13:32:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10008,Cafeteira,Cozinha,159.9,284.9,2,2019-07-21 09:09:00,569.8
2019-02-13 11:35:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10006,Aspirador de pó,Casa,88.9,189.9,2,2019-02-13 16:31:00,379.8
2019-11-05 17:00:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10005,Notebook,Eletrônicos,2299.9,3199.0,2,2019-11-06 13:07:00,6398.0
2019-11-19 17:50:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10008,Cafeteira,Cozinha,159.9,284.9,2,2019-11-20 16:35:00,569.8
2019-03-04 10:04:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10007,Batedeira,Cozinha,49.9,95.9,2,2019-03-04 13:02:00,191.8
2020-08-31 12:54:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10015,Microondas,Eletrodomésticos,189.0,364.5,2,2020-09-01 09:20:00,729.0
2019-02-10 13:00:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10011,Liquidificador,Cozinha,59.9,142.4,2,2019-02-11 11:53:00,284.8
2019-10-21 14:35:00,123456999,Felipe Marinho,Vendedor,CL003,Filial SP,10018,Colchão,Casa,109.9,249.9,2,2019-10-22 10:36:00,499.8
